year,Valentine (F),Valentine (M)
1880,0.000000,0.000050
1881,0.000000,0.000067
1882,0.000000,0.000086
1883,0.000000,0.000074
1884,0.000000,0.000074
1885,0.000042,0.000066
1886,0.000000,0.000063
1887,0.000020,0.000061
1888,0.000000,0.000057
1889,0.000021,0.000052
1890,0.000000,0.000060
1891,0.000000,0.000038
1892,0.000018,0.000054
1893,0.000000,0.000046
1894,0.000015,0.000077
1895,0.000020,0.000066
1896,0.000028,0.000053
1897,0.000014,0.000035
1898,0.000024,0.000037
1899,0.000000,0.000044
1900,0.000013,0.000033
1901,0.000020,0.000055
1902,0.000018,0.000031
1903,0.000024,0.000063
1904,0.000020,0.000045
1905,0.000021,0.000045
1906,0.000000,0.000042
1907,0.000015,0.000041
1908,0.000016,0.000047
1909,0.000023,0.000053
1910,0.000019,0.000051
1911,0.000017,0.000045
1912,0.000018,0.000056
1913,0.000011,0.000071
1914,0.000013,0.000087
1915,0.000016,0.000075
1916,0.000016,0.000064
1917,0.000026,0.000052
1918,0.000014,0.000065
1919,0.000018,0.000067
1920,0.000013,0.000054
1921,0.000015,0.000044
1922,0.000016,0.000057
1923,0.000012,0.000047
1924,0.000009,0.000053
1925,0.000013,0.000045
1926,0.000013,0.000050
1927,0.000011,0.000049
1928,0.000006,0.000053
1929,0.000007,0.000044
1930,0.000009,0.000050
1931,0.000009,0.000044
1932,0.000005,0.000042
1933,0.000007,0.000035
1934,0.000004,0.000030
1935,0.000007,0.000028
1936,0.000004,0.000032
1937,0.000005,0.000030
1938,0.000006,0.000031
1939,0.000005,0.000020
1940,0.000005,0.000022
1941,0.000005,0.000026
1942,0.000003,0.000018
1943,0.000007,0.000020
1944,0.000007,0.000019
1945,0.000002,0.000011
1946,0.000002,0.000014
1947,0.000003,0.000015
1948,0.000005,0.000016
1949,0.000003,0.000020
1950,0.000003,0.000016
1951,0.000002,0.000015
1952,0.000003,0.000016
1953,0.000003,0.000016
1954,0.000002,0.000012
1955,0.000003,0.000016
1956,0.000002,0.000013
1957,0.000001,0.000011
1958,0.000001,0.000009
1959,0.000003,0.000008
1960,0.000002,0.000010
1961,0.000002,0.000006
1962,0.000002,0.000008
1963,0.000002,0.000008
1964,0.000002,0.000008
1965,0.000005,0.000013
1966,0.000003,0.000011
1967,0.000002,0.000009
1968,0.000000,0.000010
1969,0.000002,0.000009
1970,0.000002,0.000010
1971,0.000000,0.000009
1972,0.000003,0.000010
1973,0.000002,0.000011
1974,0.000002,0.000011
1975,0.000002,0.000009
1976,0.000003,0.000010
1977,0.000002,0.000007
1978,0.000002,0.000010
1979,0.000003,0.000010
1980,0.000006,0.000009
1981,0.000005,0.000011
1982,0.000005,0.000010
1983,0.000003,0.000008
1984,0.000003,0.000008
1985,0.000004,0.000009
1986,0.000003,0.000008
1987,0.000003,0.000008
1988,0.000000,0.000008
1989,0.000002,0.000007
1990,0.000003,0.000009
1991,0.000003,0.000008
1992,0.000003,0.000007
1993,0.000004,0.000006
1994,0.000002,0.000006
1995,0.000004,0.000007
1996,0.000003,0.000010
1997,0.000004,0.000011
1998,0.000004,0.000009
1999,0.000004,0.000008
2000,0.000002,0.000005
2001,0.000004,0.000006
2002,0.000004,0.000006
2003,0.000003,0.000007
2004,0.000002,0.000008
2005,0.000004,0.000009
2006,0.000003,0.000008
2007,0.000006,0.000005
2008,0.000006,0.000009
2009,0.000007,0.000007
2010,0.000004,0.000008
2011,0.000009,0.000009
2012,0.000008,0.000007
