year,Vikki
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,7
1940,5
1941,9
1942,15
1943,28
1944,37
1945,45
1946,65
1947,86
1948,118
1949,163
1950,146
1951,162
1952,181
1953,209
1954,205
1955,173
1956,185
1957,295
1958,275
1959,244
1960,218
1961,188
1962,193
1963,127
1964,182
1965,192
1966,221
1967,232
1968,277
1969,250
1970,247
1971,199
1972,194
1973,160
1974,141
1975,96
1976,94
1977,62
1978,49
1979,46
1980,44
1981,40
1982,36
1983,26
1984,29
1985,22
1986,21
1987,27
1988,24
1989,23
1990,33
1991,20
1992,24
1993,11
1994,6
1995,10
1996,10
1997,9
1998,7
1999,7
2000,6
2001,0
2002,7
2003,5
2004,0
2005,0
2006,0
2007,7
2008,6
2009,0
2010,0
2011,5
2012,0
