year,Vance (F),Vance (M)
1880,0.000000,0.000035
1881,0.000000,0.000036
1882,0.000000,0.000023
1883,0.000000,0.000041
1884,0.000000,0.000053
1885,0.000000,0.000050
1886,0.000000,0.000035
1887,0.000000,0.000040
1888,0.000000,0.000023
1889,0.000000,0.000042
1890,0.000000,0.000043
1891,0.000000,0.000066
1892,0.000000,0.000054
1893,0.000015,0.000058
1894,0.000000,0.000059
1895,0.000000,0.000074
1896,0.000000,0.000050
1897,0.000000,0.000035
1898,0.000000,0.000045
1899,0.000000,0.000044
1900,0.000000,0.000033
1901,0.000000,0.000038
1902,0.000000,0.000059
1903,0.000000,0.000066
1904,0.000000,0.000047
1905,0.000000,0.000061
1906,0.000000,0.000044
1907,0.000000,0.000041
1908,0.000000,0.000061
1909,0.000000,0.000078
1910,0.000000,0.000051
1911,0.000008,0.000057
1912,0.000005,0.000072
1913,0.000000,0.000095
1914,0.000004,0.000095
1915,0.000005,0.000071
1916,0.000003,0.000092
1917,0.000003,0.000098
1918,0.000003,0.000088
1919,0.000003,0.000075
1920,0.000004,0.000091
1921,0.000003,0.000070
1922,0.000002,0.000088
1923,0.000002,0.000071
1924,0.000000,0.000063
1925,0.000002,0.000080
1926,0.000002,0.000075
1927,0.000000,0.000072
1928,0.000002,0.000079
1929,0.000000,0.000065
1930,0.000003,0.000071
1931,0.000000,0.000071
1932,0.000003,0.000063
1933,0.000000,0.000073
1934,0.000000,0.000081
1935,0.000000,0.000068
1936,0.000000,0.000080
1937,0.000000,0.000064
1938,0.000000,0.000069
1939,0.000000,0.000068
1940,0.000000,0.000072
1941,0.000000,0.000072
1942,0.000000,0.000055
1943,0.000000,0.000059
1944,0.000000,0.000070
1945,0.000000,0.000078
1946,0.000002,0.000070
1947,0.000000,0.000078
1948,0.000000,0.000072
1949,0.000000,0.000077
1950,0.000000,0.000074
1951,0.000000,0.000083
1952,0.000000,0.000083
1953,0.000000,0.000087
1954,0.000000,0.000070
1955,0.000000,0.000080
1956,0.000000,0.000086
1957,0.000000,0.000110
1958,0.000000,0.000091
1959,0.000000,0.000098
1960,0.000000,0.000108
1961,0.000000,0.000112
1962,0.000001,0.000107
1963,0.000001,0.000115
1964,0.000002,0.000105
1965,0.000000,0.000105
1966,0.000000,0.000086
1967,0.000000,0.000085
1968,0.000000,0.000098
1969,0.000000,0.000160
1970,0.000000,0.000113
1971,0.000000,0.000099
1972,0.000000,0.000072
1973,0.000000,0.000083
1974,0.000000,0.000058
1975,0.000000,0.000055
1976,0.000000,0.000069
1977,0.000000,0.000046
1978,0.000000,0.000054
1979,0.000000,0.000048
1980,0.000000,0.000044
1981,0.000000,0.000044
1982,0.000000,0.000049
1983,0.000000,0.000057
1984,0.000000,0.000046
1985,0.000000,0.000045
1986,0.000000,0.000046
1987,0.000000,0.000059
1988,0.000002,0.000066
1989,0.000000,0.000068
1990,0.000000,0.000062
1991,0.000000,0.000062
1992,0.000000,0.000061
1993,0.000000,0.000058
1994,0.000000,0.000050
1995,0.000000,0.000045
1996,0.000000,0.000044
1997,0.000000,0.000048
1998,0.000000,0.000037
1999,0.000000,0.000045
2000,0.000000,0.000037
2001,0.000000,0.000045
2002,0.000000,0.000053
2003,0.000000,0.000063
2004,0.000000,0.000061
2005,0.000000,0.000068
2006,0.000000,0.000075
2007,0.000000,0.000080
2008,0.000000,0.000074
2009,0.000000,0.000077
2010,0.000000,0.000078
2011,0.000000,0.000082
2012,0.000000,0.000070
