year,Vicie
1880,0
1881,0
1882,0
1883,0
1884,6
1885,0
1886,0
1887,8
1888,9
1889,6
1890,0
1891,8
1892,5
1893,8
1894,10
1895,5
1896,12
1897,12
1898,9
1899,11
1900,9
1901,8
1902,12
1903,8
1904,10
1905,15
1906,10
1907,16
1908,15
1909,5
1910,16
1911,12
1912,16
1913,12
1914,18
1915,17
1916,16
1917,17
1918,20
1919,16
1920,31
1921,11
1922,13
1923,20
1924,10
1925,11
1926,11
1927,13
1928,11
1929,13
1930,9
1931,8
1932,12
1933,9
1934,9
1935,9
1936,9
1937,12
1938,10
1939,8
1940,0
1941,7
1942,8
1943,5
1944,0
1945,7
1946,8
1947,0
1948,10
1949,8
1950,5
1951,6
1952,0
1953,9
1954,8
1955,8
1956,5
1957,0
1958,10
1959,9
1960,0
1961,7
1962,7
1963,0
1964,5
1965,0
1966,0
1967,0
1968,0
1969,5
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
