year,Venita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,11
1902,10
1903,9
1904,7
1905,9
1906,5
1907,7
1908,10
1909,11
1910,19
1911,16
1912,24
1913,16
1914,44
1915,57
1916,55
1917,50
1918,59
1919,54
1920,61
1921,69
1922,66
1923,58
1924,60
1925,61
1926,68
1927,60
1928,51
1929,48
1930,72
1931,53
1932,66
1933,55
1934,55
1935,77
1936,72
1937,65
1938,69
1939,70
1940,65
1941,56
1942,54
1943,65
1944,68
1945,39
1946,59
1947,63
1948,91
1949,71
1950,78
1951,64
1952,88
1953,151
1954,124
1955,124
1956,140
1957,143
1958,157
1959,172
1960,243
1961,199
1962,137
1963,107
1964,95
1965,89
1966,70
1967,80
1968,84
1969,69
1970,67
1971,73
1972,46
1973,53
1974,47
1975,75
1976,72
1977,46
1978,39
1979,31
1980,29
1981,34
1982,29
1983,43
1984,31
1985,23
1986,24
1987,22
1988,10
1989,25
1990,8
1991,13
1992,6
1993,10
1994,10
1995,0
1996,8
1997,0
1998,8
1999,0
2000,9
2001,0
2002,0
2003,0
2004,8
2005,6
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,5
