year,Vona
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,7
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,7
1899,0
1900,0
1901,5
1902,8
1903,9
1904,7
1905,6
1906,6
1907,6
1908,6
1909,0
1910,5
1911,11
1912,6
1913,11
1914,12
1915,15
1916,15
1917,14
1918,28
1919,13
1920,17
1921,22
1922,19
1923,19
1924,20
1925,16
1926,15
1927,20
1928,24
1929,14
1930,20
1931,17
1932,17
1933,8
1934,18
1935,13
1936,12
1937,18
1938,18
1939,14
1940,15
1941,13
1942,12
1943,16
1944,10
1945,11
1946,10
1947,16
1948,12
1949,12
1950,8
1951,10
1952,13
1953,7
1954,8
1955,11
1956,12
1957,8
1958,10
1959,8
1960,8
1961,13
1962,9
1963,5
1964,9
1965,5
1966,11
1967,14
1968,7
1969,6
1970,0
1971,5
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
