year,Voncile
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,6
1911,0
1912,15
1913,9
1914,14
1915,15
1916,24
1917,26
1918,34
1919,26
1920,21
1921,36
1922,39
1923,32
1924,35
1925,39
1926,30
1927,33
1928,38
1929,37
1930,34
1931,33
1932,36
1933,36
1934,31
1935,27
1936,37
1937,34
1938,30
1939,37
1940,28
1941,42
1942,21
1943,31
1944,21
1945,25
1946,37
1947,29
1948,29
1949,37
1950,14
1951,25
1952,19
1953,25
1954,22
1955,21
1956,28
1957,16
1958,14
1959,17
1960,9
1961,12
1962,7
1963,8
1964,13
1965,12
1966,0
1967,10
1968,7
1969,0
1970,8
1971,5
1972,9
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
