year,Vanda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,8
1894,0
1895,0
1896,0
1897,0
1898,6
1899,5
1900,5
1901,0
1902,7
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,8
1910,0
1911,8
1912,5
1913,6
1914,10
1915,24
1916,15
1917,18
1918,18
1919,16
1920,21
1921,23
1922,16
1923,15
1924,21
1925,11
1926,19
1927,17
1928,15
1929,15
1930,17
1931,21
1932,17
1933,11
1934,27
1935,15
1936,22
1937,16
1938,22
1939,23
1940,34
1941,27
1942,17
1943,27
1944,29
1945,14
1946,28
1947,30
1948,35
1949,31
1950,31
1951,31
1952,36
1953,38
1954,29
1955,35
1956,29
1957,30
1958,40
1959,39
1960,45
1961,43
1962,39
1963,20
1964,30
1965,39
1966,30
1967,19
1968,23
1969,17
1970,19
1971,14
1972,13
1973,15
1974,13
1975,9
1976,15
1977,12
1978,15
1979,8
1980,9
1981,16
1982,0
1983,9
1984,6
1985,7
1986,7
1987,5
1988,10
1989,9
1990,8
1991,0
1992,8
1993,0
1994,0
1995,8
1996,0
1997,0
1998,0
1999,5
2000,0
2001,0
2002,5
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
