year,Velva
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,6
1889,7
1890,6
1891,9
1892,15
1893,6
1894,9
1895,13
1896,9
1897,12
1898,22
1899,16
1900,27
1901,13
1902,24
1903,15
1904,26
1905,39
1906,37
1907,31
1908,39
1909,34
1910,56
1911,56
1912,85
1913,96
1914,93
1915,123
1916,139
1917,108
1918,126
1919,115
1920,118
1921,122
1922,102
1923,104
1924,102
1925,84
1926,83
1927,109
1928,72
1929,55
1930,76
1931,69
1932,83
1933,77
1934,73
1935,71
1936,60
1937,74
1938,55
1939,59
1940,64
1941,54
1942,51
1943,48
1944,43
1945,51
1946,38
1947,49
1948,54
1949,53
1950,43
1951,32
1952,49
1953,44
1954,32
1955,35
1956,28
1957,36
1958,43
1959,35
1960,32
1961,34
1962,21
1963,27
1964,23
1965,20
1966,24
1967,16
1968,16
1969,12
1970,17
1971,10
1972,14
1973,6
1974,5
1975,11
1976,9
1977,5
1978,0
1979,10
1980,0
1981,7
1982,5
1983,7
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
