year,Veneta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,5
1897,0
1898,0
1899,5
1900,0
1901,0
1902,0
1903,0
1904,0
1905,7
1906,0
1907,0
1908,6
1909,7
1910,8
1911,9
1912,11
1913,16
1914,11
1915,25
1916,17
1917,20
1918,24
1919,20
1920,22
1921,19
1922,21
1923,23
1924,19
1925,22
1926,18
1927,14
1928,17
1929,17
1930,11
1931,25
1932,16
1933,13
1934,11
1935,10
1936,11
1937,11
1938,10
1939,7
1940,10
1941,11
1942,9
1943,11
1944,9
1945,7
1946,6
1947,6
1948,8
1949,14
1950,9
1951,6
1952,6
1953,10
1954,12
1955,10
1956,12
1957,7
1958,5
1959,10
1960,6
1961,9
1962,13
1963,7
1964,0
1965,7
1966,0
1967,0
1968,8
1969,7
1970,0
1971,0
1972,5
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
