year,Vonda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,5
1900,0
1901,0
1902,0
1903,0
1904,0
1905,5
1906,6
1907,11
1908,5
1909,8
1910,9
1911,15
1912,12
1913,19
1914,26
1915,34
1916,33
1917,31
1918,38
1919,44
1920,36
1921,51
1922,54
1923,60
1924,70
1925,58
1926,64
1927,66
1928,61
1929,79
1930,87
1931,76
1932,86
1933,69
1934,93
1935,94
1936,110
1937,126
1938,132
1939,177
1940,137
1941,127
1942,124
1943,120
1944,105
1945,85
1946,113
1947,111
1948,108
1949,151
1950,141
1951,136
1952,138
1953,146
1954,164
1955,168
1956,160
1957,197
1958,183
1959,190
1960,188
1961,208
1962,183
1963,180
1964,607
1965,1093
1966,669
1967,321
1968,329
1969,237
1970,283
1971,215
1972,162
1973,133
1974,106
1975,85
1976,62
1977,50
1978,43
1979,36
1980,40
1981,26
1982,33
1983,22
1984,28
1985,30
1986,21
1987,11
1988,16
1989,16
1990,9
1991,12
1992,14
1993,11
1994,14
1995,10
1996,10
1997,10
1998,6
1999,0
2000,5
2001,7
2002,8
2003,0
2004,5
2005,0
2006,5
2007,0
2008,5
2009,0
2010,0
2011,0
2012,0
