year,Vernard (F),Vernard (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000011
1901,0.000000,0.000000
1902,0.000000,0.000013
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000013
1908,0.000000,0.000000
1909,0.000000,0.000014
1910,0.000000,0.000000
1911,0.000000,0.000008
1912,0.000000,0.000017
1913,0.000000,0.000016
1914,0.000000,0.000013
1915,0.000000,0.000015
1916,0.000000,0.000014
1917,0.000000,0.000013
1918,0.000000,0.000008
1919,0.000000,0.000018
1920,0.000000,0.000014
1921,0.000000,0.000015
1922,0.000000,0.000021
1923,0.000000,0.000014
1924,0.000000,0.000017
1925,0.000000,0.000018
1926,0.000000,0.000010
1927,0.000000,0.000013
1928,0.000000,0.000018
1929,0.000000,0.000013
1930,0.000000,0.000018
1931,0.000000,0.000011
1932,0.000000,0.000011
1933,0.000000,0.000012
1934,0.000000,0.000008
1935,0.000000,0.000011
1936,0.000000,0.000008
1937,0.000000,0.000007
1938,0.000000,0.000009
1939,0.000000,0.000007
1940,0.000000,0.000005
1941,0.000000,0.000006
1942,0.000000,0.000009
1943,0.000000,0.000008
1944,0.000000,0.000006
1945,0.000000,0.000006
1946,0.000000,0.000007
1947,0.000000,0.000007
1948,0.000000,0.000010
1949,0.000000,0.000009
1950,0.000000,0.000005
1951,0.000000,0.000008
1952,0.000000,0.000008
1953,0.000000,0.000009
1954,0.000000,0.000008
1955,0.000000,0.000007
1956,0.000000,0.000008
1957,0.000000,0.000005
1958,0.000000,0.000011
1959,0.000000,0.000008
1960,0.000000,0.000007
1961,0.000000,0.000006
1962,0.000000,0.000005
1963,0.000000,0.000007
1964,0.000000,0.000007
1965,0.000000,0.000009
1966,0.000000,0.000008
1967,0.000000,0.000009
1968,0.000000,0.000006
1969,0.000000,0.000006
1970,0.000000,0.000008
1971,0.000000,0.000004
1972,0.000000,0.000008
1973,0.000000,0.000006
1974,0.000000,0.000005
1975,0.000000,0.000007
1976,0.000000,0.000007
1977,0.000000,0.000003
1978,0.000000,0.000006
1979,0.000000,0.000004
1980,0.000000,0.000006
1981,0.000000,0.000006
1982,0.000000,0.000007
1983,0.000000,0.000005
1984,0.000000,0.000003
1985,0.000000,0.000006
1986,0.000000,0.000003
1987,0.000000,0.000003
1988,0.000000,0.000006
1989,0.000000,0.000004
1990,0.000000,0.000003
1991,0.000000,0.000004
1992,0.000000,0.000002
1993,0.000000,0.000003
1994,0.000000,0.000000
1995,0.000000,0.000002
1996,0.000000,0.000003
1997,0.000000,0.000002
1998,0.000000,0.000002
1999,0.000000,0.000001
2000,0.000000,0.000000
2001,0.000000,0.000002
2002,0.000000,0.000002
2003,0.000000,0.000000
2004,0.000000,0.000002
2005,0.000000,0.000002
2006,0.000000,0.000001
2007,0.000000,0.000000
2008,0.000000,0.000000
2009,0.000000,0.000001
2010,0.000000,0.000000
2011,0.000000,0.000000
2012,0.000000,0.000000
2013,0.000000,0.000000
2014,0.000000,0.000000
2015,0.000000,0.000000
2016,0.000000,0.000000
2017,0.000000,0.000000
2018,0.000000,0.000000
2019,0.000000,0.000000
2020,0.000000,0.000000
