year,Velton
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,7
1913,0
1914,0
1915,6
1916,6
1917,10
1918,8
1919,8
1920,13
1921,13
1922,14
1923,11
1924,7
1925,8
1926,13
1927,6
1928,11
1929,13
1930,11
1931,18
1932,13
1933,8
1934,12
1935,15
1936,12
1937,9
1938,5
1939,10
1940,12
1941,9
1942,7
1943,6
1944,6
1945,9
1946,12
1947,8
1948,12
1949,9
1950,10
1951,10
1952,16
1953,8
1954,8
1955,16
1956,13
1957,7
1958,12
1959,8
1960,11
1961,6
1962,0
1963,8
1964,8
1965,9
1966,5
1967,5
1968,7
1969,6
1970,6
1971,7
1972,5
1973,8
1974,7
1975,5
1976,7
1977,5
1978,6
1979,0
1980,0
1981,6
1982,0
1983,6
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,5
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
