year,Vanessia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,8
1954,8
1955,8
1956,9
1957,15
1958,16
1959,17
1960,21
1961,22
1962,14
1963,10
1964,8
1965,7
1966,10
1967,8
1968,6
1969,10
1970,8
1971,7
1972,5
1973,0
1974,0
1975,0
1976,5
1977,0
1978,5
1979,0
1980,0
1981,6
1982,7
1983,0
1984,7
1985,6
1986,7
1987,6
1988,6
1989,0
1990,8
1991,6
1992,0
1993,5
1994,0
1995,6
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
