year,Victoriano
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,8
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,5
1910,5
1911,0
1912,5
1913,0
1914,10
1915,8
1916,5
1917,11
1918,12
1919,0
1920,17
1921,19
1922,21
1923,18
1924,13
1925,17
1926,17
1927,23
1928,27
1929,32
1930,16
1931,14
1932,20
1933,13
1934,7
1935,12
1936,16
1937,17
1938,11
1939,5
1940,9
1941,14
1942,12
1943,12
1944,7
1945,11
1946,13
1947,8
1948,7
1949,0
1950,9
1951,11
1952,10
1953,7
1954,7
1955,8
1956,8
1957,11
1958,6
1959,5
1960,11
1961,9
1962,8
1963,11
1964,7
1965,11
1966,8
1967,16
1968,14
1969,15
1970,8
1971,15
1972,11
1973,16
1974,10
1975,26
1976,10
1977,16
1978,14
1979,13
1980,17
1981,18
1982,18
1983,11
1984,10
1985,16
1986,19
1987,13
1988,16
1989,22
1990,17
1991,20
1992,14
1993,12
1994,26
1995,13
1996,10
1997,15
1998,17
1999,10
2000,18
2001,9
2002,10
2003,17
2004,18
2005,15
2006,11
2007,20
2008,22
2009,6
2010,8
2011,9
2012,12
