year,Viktoria
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,5
1951,5
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,5
1965,0
1966,0
1967,5
1968,6
1969,5
1970,10
1971,9
1972,6
1973,9
1974,5
1975,6
1976,8
1977,0
1978,0
1979,6
1980,7
1981,8
1982,5
1983,9
1984,12
1985,9
1986,11
1987,15
1988,14
1989,23
1990,25
1991,36
1992,25
1993,39
1994,36
1995,41
1996,47
1997,46
1998,64
1999,67
2000,81
2001,62
2002,75
2003,80
2004,66
2005,75
2006,75
2007,87
2008,86
2009,74
2010,67
2011,96
2012,107
