year,Vaughn (F),Vaughn (M)
1880,0.000000,0.000000
1881,0.000000,0.000026
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000017
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000021
1892,0.000000,0.000018
1893,0.000000,0.000025
1894,0.000000,0.000035
1895,0.000000,0.000020
1896,0.000000,0.000000
1897,0.000000,0.000026
1898,0.000000,0.000016
1899,0.000000,0.000021
1900,0.000000,0.000027
1901,0.000020,0.000023
1902,0.000000,0.000034
1903,0.000000,0.000037
1904,0.000000,0.000042
1905,0.000000,0.000038
1906,0.000000,0.000047
1907,0.000000,0.000030
1908,0.000012,0.000025
1909,0.000000,0.000031
1910,0.000000,0.000029
1911,0.000008,0.000043
1912,0.000000,0.000055
1913,0.000004,0.000059
1914,0.000005,0.000060
1915,0.000003,0.000065
1916,0.000009,0.000063
1917,0.000004,0.000059
1918,0.000000,0.000065
1919,0.000005,0.000047
1920,0.000005,0.000054
1921,0.000006,0.000057
1922,0.000005,0.000054
1923,0.000003,0.000056
1924,0.000003,0.000049
1925,0.000000,0.000060
1926,0.000003,0.000051
1927,0.000004,0.000052
1928,0.000005,0.000061
1929,0.000003,0.000056
1930,0.000008,0.000067
1931,0.000013,0.000063
1932,0.000009,0.000061
1933,0.000009,0.000052
1934,0.000006,0.000063
1935,0.000004,0.000067
1936,0.000010,0.000058
1937,0.000010,0.000050
1938,0.000006,0.000061
1939,0.000009,0.000054
1940,0.000003,0.000061
1941,0.000004,0.000053
1942,0.000005,0.000061
1943,0.000004,0.000072
1944,0.000003,0.000067
1945,0.000004,0.000069
1946,0.000003,0.000092
1947,0.000003,0.000098
1948,0.000003,0.000103
1949,0.000003,0.000107
1950,0.000002,0.000100
1951,0.000002,0.000081
1952,0.000004,0.000066
1953,0.000002,0.000062
1954,0.000002,0.000060
1955,0.000004,0.000054
1956,0.000002,0.000053
1957,0.000002,0.000048
1958,0.000002,0.000051
1959,0.000003,0.000051
1960,0.000002,0.000059
1961,0.000002,0.000052
1962,0.000002,0.000063
1963,0.000000,0.000067
1964,0.000003,0.000072
1965,0.000001,0.000080
1966,0.000002,0.000077
1967,0.000003,0.000073
1968,0.000002,0.000073
1969,0.000003,0.000068
1970,0.000001,0.000064
1971,0.000002,0.000061
1972,0.000000,0.000061
1973,0.000000,0.000052
1974,0.000000,0.000047
1975,0.000000,0.000049
1976,0.000002,0.000042
1977,0.000002,0.000042
1978,0.000000,0.000043
1979,0.000000,0.000039
1980,0.000002,0.000048
1981,0.000001,0.000040
1982,0.000000,0.000036
1983,0.000000,0.000036
1984,0.000001,0.000039
1985,0.000000,0.000036
1986,0.000002,0.000040
1987,0.000000,0.000050
1988,0.000001,0.000038
1989,0.000000,0.000044
1990,0.000002,0.000047
1991,0.000003,0.000046
1992,0.000001,0.000049
1993,0.000002,0.000046
1994,0.000002,0.000057
1995,0.000000,0.000039
1996,0.000001,0.000038
1997,0.000002,0.000041
1998,0.000002,0.000045
1999,0.000002,0.000044
2000,0.000002,0.000045
2001,0.000002,0.000043
2002,0.000002,0.000046
2003,0.000003,0.000058
2004,0.000001,0.000060
2005,0.000000,0.000066
2006,0.000004,0.000073
2007,0.000003,0.000077
2008,0.000004,0.000065
2009,0.000004,0.000071
2010,0.000005,0.000058
2011,0.000002,0.000062
2012,0.000003,0.000067
