year,Veva
1880,0
1881,0
1882,6
1883,5
1884,9
1885,0
1886,5
1887,10
1888,8
1889,7
1890,13
1891,9
1892,17
1893,8
1894,24
1895,21
1896,21
1897,20
1898,14
1899,51
1900,30
1901,19
1902,5
1903,9
1904,20
1905,16
1906,9
1907,19
1908,25
1909,20
1910,20
1911,15
1912,25
1913,22
1914,30
1915,38
1916,50
1917,39
1918,54
1919,42
1920,57
1921,43
1922,60
1923,37
1924,29
1925,37
1926,29
1927,27
1928,25
1929,31
1930,28
1931,22
1932,24
1933,23
1934,18
1935,19
1936,16
1937,17
1938,10
1939,15
1940,10
1941,15
1942,12
1943,5
1944,13
1945,13
1946,14
1947,14
1948,11
1949,9
1950,8
1951,13
1952,8
1953,8
1954,6
1955,5
1956,14
1957,8
1958,17
1959,6
1960,6
1961,8
1962,7
1963,6
1964,8
1965,0
1966,6
1967,0
1968,6
1969,0
1970,0
1971,6
1972,7
1973,0
1974,0
1975,7
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
