year,Valeri
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,11
1949,23
1950,18
1951,21
1952,29
1953,30
1954,35
1955,33
1956,34
1957,34
1958,37
1959,52
1960,41
1961,45
1962,48
1963,40
1964,55
1965,33
1966,31
1967,30
1968,43
1969,35
1970,35
1971,44
1972,36
1973,31
1974,29
1975,30
1976,30
1977,25
1978,25
1979,26
1980,28
1981,29
1982,17
1983,27
1984,29
1985,37
1986,29
1987,37
1988,25
1989,36
1990,20
1991,24
1992,18
1993,25
1994,17
1995,15
1996,20
1997,28
1998,16
1999,11
2000,13
2001,19
2002,14
2003,15
2004,14
2005,21
2006,29
2007,20
2008,18
2009,18
2010,14
2011,12
2012,8
