year,Valeta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,0
1912,0
1913,0
1914,6
1915,13
1916,12
1917,9
1918,11
1919,11
1920,15
1921,10
1922,20
1923,12
1924,13
1925,18
1926,16
1927,23
1928,22
1929,13
1930,17
1931,17
1932,9
1933,16
1934,17
1935,7
1936,11
1937,17
1938,16
1939,12
1940,9
1941,9
1942,7
1943,12
1944,8
1945,14
1946,6
1947,7
1948,6
1949,5
1950,15
1951,6
1952,24
1953,10
1954,9
1955,13
1956,9
1957,9
1958,9
1959,5
1960,7
1961,9
1962,9
1963,9
1964,8
1965,0
1966,11
1967,10
1968,6
1969,9
1970,8
1971,0
1972,10
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,5
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
