year,Vienna
1880,0
1881,0
1882,5
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,5
1900,8
1901,5
1902,0
1903,0
1904,0
1905,0
1906,6
1907,8
1908,10
1909,7
1910,11
1911,8
1912,15
1913,20
1914,18
1915,32
1916,25
1917,15
1918,22
1919,19
1920,16
1921,12
1922,19
1923,14
1924,10
1925,11
1926,11
1927,7
1928,0
1929,10
1930,11
1931,5
1932,9
1933,0
1934,5
1935,5
1936,5
1937,10
1938,6
1939,7
1940,11
1941,9
1942,7
1943,10
1944,5
1945,0
1946,11
1947,6
1948,0
1949,5
1950,0
1951,7
1952,0
1953,7
1954,21
1955,24
1956,19
1957,17
1958,8
1959,18
1960,14
1961,14
1962,18
1963,10
1964,10
1965,7
1966,7
1967,9
1968,9
1969,9
1970,10
1971,0
1972,6
1973,10
1974,8
1975,11
1976,14
1977,5
1978,6
1979,14
1980,5
1981,14
1982,10
1983,8
1984,9
1985,16
1986,22
1987,18
1988,19
1989,22
1990,23
1991,27
1992,25
1993,23
1994,24
1995,21
1996,25
1997,38
1998,45
1999,47
2000,44
2001,39
2002,40
2003,51
2004,60
2005,95
2006,90
2007,107
2008,132
2009,134
2010,225
2011,223
2012,216
