year,Veola
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,6
1893,6
1894,7
1895,6
1896,0
1897,7
1898,5
1899,8
1900,12
1901,9
1902,11
1903,12
1904,16
1905,15
1906,19
1907,9
1908,12
1909,21
1910,17
1911,22
1912,25
1913,33
1914,22
1915,30
1916,42
1917,47
1918,48
1919,35
1920,53
1921,54
1922,43
1923,43
1924,38
1925,57
1926,64
1927,54
1928,47
1929,37
1930,37
1931,46
1932,24
1933,49
1934,39
1935,34
1936,39
1937,43
1938,44
1939,27
1940,34
1941,21
1942,21
1943,26
1944,28
1945,12
1946,35
1947,35
1948,23
1949,16
1950,20
1951,17
1952,10
1953,15
1954,13
1955,16
1956,12
1957,12
1958,15
1959,12
1960,6
1961,8
1962,5
1963,0
1964,12
1965,8
1966,8
1967,8
1968,0
1969,0
1970,6
1971,5
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,5
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,5
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
