year,Valinda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,7
1943,8
1944,14
1945,11
1946,14
1947,21
1948,29
1949,35
1950,34
1951,30
1952,32
1953,33
1954,136
1955,58
1956,54
1957,55
1958,58
1959,67
1960,42
1961,54
1962,38
1963,45
1964,49
1965,34
1966,33
1967,24
1968,33
1969,31
1970,27
1971,27
1972,15
1973,19
1974,21
1975,18
1976,10
1977,13
1978,18
1979,11
1980,16
1981,15
1982,18
1983,8
1984,7
1985,7
1986,7
1987,10
1988,6
1989,0
1990,0
1991,0
1992,0
1993,6
1994,0
1995,0
1996,0
1997,5
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
