year,Vinson
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,5
1899,0
1900,0
1901,0
1902,5
1903,0
1904,0
1905,0
1906,0
1907,0
1908,6
1909,0
1910,5
1911,6
1912,14
1913,22
1914,23
1915,8
1916,18
1917,21
1918,24
1919,33
1920,31
1921,17
1922,23
1923,23
1924,16
1925,31
1926,19
1927,26
1928,18
1929,9
1930,16
1931,18
1932,22
1933,15
1934,13
1935,15
1936,22
1937,21
1938,17
1939,18
1940,19
1941,16
1942,35
1943,27
1944,18
1945,26
1946,33
1947,33
1948,34
1949,34
1950,32
1951,27
1952,28
1953,26
1954,30
1955,45
1956,31
1957,40
1958,55
1959,46
1960,39
1961,46
1962,59
1963,62
1964,52
1965,59
1966,52
1967,53
1968,56
1969,75
1970,68
1971,71
1972,70
1973,59
1974,43
1975,53
1976,51
1977,40
1978,45
1979,36
1980,32
1981,35
1982,33
1983,43
1984,34
1985,32
1986,34
1987,49
1988,54
1989,50
1990,64
1991,49
1992,47
1993,44
1994,31
1995,36
1996,38
1997,35
1998,35
1999,31
2000,30
2001,22
2002,30
2003,24
2004,45
2005,33
2006,27
2007,42
2008,32
2009,39
2010,23
2011,41
2012,36
