year,Vergia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,5
1899,0
1900,0
1901,0
1902,9
1903,0
1904,0
1905,0
1906,7
1907,0
1908,0
1909,0
1910,0
1911,0
1912,6
1913,7
1914,7
1915,13
1916,11
1917,10
1918,15
1919,12
1920,9
1921,12
1922,13
1923,15
1924,12
1925,17
1926,16
1927,10
1928,10
1929,14
1930,9
1931,8
1932,11
1933,5
1934,15
1935,13
1936,14
1937,6
1938,8
1939,6
1940,9
1941,0
1942,7
1943,11
1944,0
1945,7
1946,8
1947,7
1948,13
1949,9
1950,6
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
