year,Verneda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,9
1908,0
1909,7
1910,0
1911,0
1912,9
1913,7
1914,15
1915,11
1916,10
1917,10
1918,19
1919,18
1920,21
1921,14
1922,19
1923,25
1924,23
1925,15
1926,14
1927,22
1928,9
1929,13
1930,14
1931,17
1932,12
1933,20
1934,11
1935,6
1936,11
1937,7
1938,12
1939,10
1940,7
1941,11
1942,6
1943,7
1944,10
1945,6
1946,7
1947,12
1948,9
1949,11
1950,8
1951,14
1952,8
1953,9
1954,10
1955,8
1956,0
1957,9
1958,0
1959,7
1960,5
1961,5
1962,7
1963,0
1964,5
1965,0
1966,0
1967,9
1968,9
1969,5
1970,7
1971,0
1972,0
1973,5
1974,0
1975,0
1976,0
1977,0
1978,5
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
