year,Vannessa
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,6
1952,23
1953,46
1954,43
1955,60
1956,43
1957,42
1958,57
1959,55
1960,59
1961,59
1962,45
1963,33
1964,43
1965,24
1966,29
1967,20
1968,14
1969,41
1970,27
1971,38
1972,32
1973,18
1974,33
1975,31
1976,27
1977,51
1978,45
1979,51
1980,44
1981,45
1982,52
1983,59
1984,52
1985,70
1986,90
1987,123
1988,110
1989,116
1990,98
1991,102
1992,90
1993,98
1994,69
1995,69
1996,67
1997,73
1998,50
1999,69
2000,61
2001,38
2002,41
2003,42
2004,43
2005,40
2006,41
2007,42
2008,42
2009,38
2010,23
2011,31
2012,17
