year,Van (F),Van (M)
1880,0.000000,0.000164
1881,0.000000,0.000166
1882,0.000000,0.000208
1883,0.000000,0.000143
1884,0.000000,0.000156
1885,0.000000,0.000158
1886,0.000000,0.000161
1887,0.000000,0.000129
1888,0.000020,0.000104
1889,0.000000,0.000118
1890,0.000000,0.000090
1891,0.000000,0.000167
1892,0.000000,0.000105
1893,0.000000,0.000129
1894,0.000000,0.000094
1895,0.000000,0.000097
1896,0.000000,0.000103
1897,0.000000,0.000110
1898,0.000000,0.000100
1899,0.000000,0.000094
1900,0.000011,0.000127
1901,0.000000,0.000098
1902,0.000018,0.000085
1903,0.000000,0.000100
1904,0.000012,0.000077
1905,0.000000,0.000080
1906,0.000000,0.000058
1907,0.000015,0.000062
1908,0.000000,0.000074
1909,0.000000,0.000088
1910,0.000000,0.000078
1911,0.000000,0.000082
1912,0.000000,0.000086
1913,0.000006,0.000072
1914,0.000008,0.000095
1915,0.000003,0.000094
1916,0.000005,0.000096
1917,0.000003,0.000081
1918,0.000003,0.000088
1919,0.000003,0.000085
1920,0.000004,0.000096
1921,0.000004,0.000105
1922,0.000009,0.000091
1923,0.000004,0.000083
1924,0.000002,0.000098
1925,0.000004,0.000097
1926,0.000006,0.000096
1927,0.000006,0.000090
1928,0.000004,0.000099
1929,0.000005,0.000086
1930,0.000003,0.000099
1931,0.000004,0.000088
1932,0.000000,0.000091
1933,0.000005,0.000109
1934,0.000007,0.000088
1935,0.000006,0.000087
1936,0.000003,0.000083
1937,0.000005,0.000091
1938,0.000005,0.000099
1939,0.000005,0.000083
1940,0.000006,0.000076
1941,0.000002,0.000090
1942,0.000000,0.000078
1943,0.000005,0.000090
1944,0.000006,0.000109
1945,0.000005,0.000176
1946,0.000006,0.000177
1947,0.000003,0.000158
1948,0.000004,0.000143
1949,0.000002,0.000147
1950,0.000003,0.000137
1951,0.000004,0.000135
1952,0.000004,0.000141
1953,0.000005,0.000149
1954,0.000005,0.000144
1955,0.000007,0.000136
1956,0.000004,0.000115
1957,0.000005,0.000109
1958,0.000005,0.000109
1959,0.000007,0.000121
1960,0.000004,0.000115
1961,0.000004,0.000128
1962,0.000004,0.000119
1963,0.000006,0.000113
1964,0.000005,0.000102
1965,0.000004,0.000112
1966,0.000003,0.000100
1967,0.000004,0.000095
1968,0.000003,0.000082
1969,0.000001,0.000071
1970,0.000003,0.000066
1971,0.000003,0.000062
1972,0.000002,0.000059
1973,0.000002,0.000058
1974,0.000000,0.000055
1975,0.000003,0.000050
1976,0.000006,0.000048
1977,0.000005,0.000049
1978,0.000005,0.000046
1979,0.000005,0.000048
1980,0.000012,0.000044
1981,0.000009,0.000041
1982,0.000014,0.000037
1983,0.000017,0.000047
1984,0.000012,0.000036
1985,0.000014,0.000040
1986,0.000009,0.000042
1987,0.000013,0.000040
1988,0.000008,0.000035
1989,0.000008,0.000036
1990,0.000006,0.000035
1991,0.000006,0.000029
1992,0.000008,0.000032
1993,0.000007,0.000027
1994,0.000004,0.000028
1995,0.000004,0.000021
1996,0.000005,0.000026
1997,0.000002,0.000022
1998,0.000004,0.000028
1999,0.000002,0.000026
2000,0.000004,0.000022
2001,0.000004,0.000026
2002,0.000004,0.000029
2003,0.000001,0.000038
2004,0.000003,0.000040
2005,0.000003,0.000045
2006,0.000003,0.000054
2007,0.000001,0.000066
2008,0.000000,0.000070
2009,0.000003,0.000077
2010,0.000003,0.000081
2011,0.000006,0.000078
2012,0.000007,0.000068
2013,0.000004,0.000070
