year,Vella
1880,0
1881,0
1882,6
1883,0
1884,11
1885,15
1886,10
1887,9
1888,5
1889,10
1890,7
1891,12
1892,15
1893,11
1894,8
1895,14
1896,16
1897,13
1898,13
1899,15
1900,22
1901,13
1902,11
1903,19
1904,20
1905,18
1906,16
1907,20
1908,26
1909,20
1910,22
1911,23
1912,35
1913,30
1914,36
1915,53
1916,48
1917,45
1918,52
1919,49
1920,33
1921,52
1922,41
1923,31
1924,53
1925,35
1926,38
1927,39
1928,46
1929,42
1930,32
1931,38
1932,34
1933,31
1934,37
1935,27
1936,22
1937,30
1938,34
1939,19
1940,22
1941,22
1942,17
1943,17
1944,16
1945,23
1946,14
1947,26
1948,22
1949,19
1950,11
1951,19
1952,14
1953,15
1954,11
1955,11
1956,12
1957,17
1958,26
1959,18
1960,15
1961,12
1962,7
1963,10
1964,7
1965,6
1966,5
1967,6
1968,0
1969,0
1970,0
1971,0
1972,6
1973,5
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,7
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,5
2006,0
2007,7
2008,11
2009,11
2010,14
2011,15
2012,19
