year,Vida
1880,13
1881,14
1882,21
1883,22
1884,32
1885,25
1886,43
1887,40
1888,52
1889,45
1890,45
1891,61
1892,53
1893,57
1894,56
1895,78
1896,80
1897,72
1898,74
1899,65
1900,81
1901,84
1902,71
1903,95
1904,77
1905,89
1906,76
1907,78
1908,74
1909,83
1910,65
1911,101
1912,113
1913,135
1914,166
1915,187
1916,193
1917,193
1918,220
1919,191
1920,220
1921,200
1922,219
1923,183
1924,164
1925,188
1926,156
1927,159
1928,164
1929,159
1930,133
1931,130
1932,100
1933,106
1934,116
1935,97
1936,78
1937,94
1938,78
1939,66
1940,57
1941,71
1942,54
1943,78
1944,68
1945,57
1946,81
1947,64
1948,50
1949,66
1950,76
1951,52
1952,78
1953,81
1954,77
1955,73
1956,71
1957,85
1958,77
1959,75
1960,85
1961,90
1962,70
1963,87
1964,83
1965,63
1966,59
1967,46
1968,30
1969,27
1970,30
1971,58
1972,51
1973,45
1974,25
1975,34
1976,23
1977,25
1978,26
1979,27
1980,37
1981,21
1982,30
1983,10
1984,22
1985,17
1986,18
1987,27
1988,18
1989,14
1990,22
1991,15
1992,15
1993,19
1994,12
1995,25
1996,22
1997,24
1998,17
1999,29
2000,25
2001,22
2002,20
2003,26
2004,47
2005,56
2006,81
2007,85
2008,80
2009,100
2010,145
2011,136
2012,137
