year,Virgilio
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,8
1917,0
1918,10
1919,10
1920,5
1921,8
1922,6
1923,14
1924,11
1925,10
1926,13
1927,7
1928,8
1929,9
1930,6
1931,11
1932,11
1933,10
1934,5
1935,9
1936,9
1937,0
1938,0
1939,6
1940,0
1941,0
1942,0
1943,0
1944,8
1945,5
1946,0
1947,10
1948,7
1949,10
1950,6
1951,7
1952,7
1953,9
1954,5
1955,16
1956,10
1957,17
1958,12
1959,13
1960,12
1961,18
1962,14
1963,12
1964,17
1965,24
1966,16
1967,12
1968,28
1969,23
1970,19
1971,38
1972,23
1973,20
1974,23
1975,28
1976,12
1977,30
1978,19
1979,21
1980,32
1981,21
1982,29
1983,20
1984,17
1985,20
1986,25
1987,22
1988,15
1989,16
1990,31
1991,32
1992,29
1993,19
1994,29
1995,24
1996,19
1997,19
1998,22
1999,21
2000,18
2001,26
2002,16
2003,17
2004,14
2005,20
2006,11
2007,16
2008,11
2009,12
2010,6
2011,7
2012,0
