year,Vashti
1880,0
1881,0
1882,6
1883,0
1884,0
1885,0
1886,0
1887,0
1888,6
1889,8
1890,9
1891,5
1892,9
1893,12
1894,11
1895,12
1896,12
1897,10
1898,11
1899,9
1900,13
1901,11
1902,20
1903,15
1904,18
1905,10
1906,9
1907,16
1908,13
1909,12
1910,8
1911,11
1912,23
1913,22
1914,24
1915,23
1916,27
1917,20
1918,34
1919,27
1920,29
1921,27
1922,40
1923,19
1924,29
1925,28
1926,15
1927,23
1928,16
1929,19
1930,10
1931,19
1932,18
1933,13
1934,11
1935,23
1936,11
1937,7
1938,15
1939,10
1940,17
1941,10
1942,7
1943,8
1944,12
1945,9
1946,12
1947,11
1948,12
1949,9
1950,11
1951,13
1952,9
1953,11
1954,8
1955,8
1956,7
1957,16
1958,10
1959,12
1960,0
1961,9
1962,6
1963,7
1964,12
1965,6
1966,8
1967,7
1968,10
1969,6
1970,12
1971,9
1972,16
1973,6
1974,14
1975,20
1976,24
1977,26
1978,19
1979,25
1980,19
1981,18
1982,29
1983,18
1984,19
1985,25
1986,24
1987,22
1988,32
1989,35
1990,35
1991,31
1992,33
1993,37
1994,37
1995,40
1996,23
1997,30
1998,34
1999,26
2000,25
2001,27
2002,19
2003,23
2004,23
2005,22
2006,20
2007,21
2008,20
2009,25
2010,29
2011,16
2012,19
