year,Joey (F),Joey (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000003
1916,0.000000,0.000005
1917,0.000000,0.000000
1918,0.000003,0.000000
1919,0.000003,0.000004
1920,0.000000,0.000002
1921,0.000005,0.000003
1922,0.000003,0.000005
1923,0.000003,0.000002
1924,0.000004,0.000006
1925,0.000003,0.000005
1926,0.000003,0.000007
1927,0.000002,0.000006
1928,0.000003,0.000008
1929,0.000003,0.000007
1930,0.000002,0.000011
1931,0.000003,0.000011
1932,0.000006,0.000013
1933,0.000007,0.000011
1934,0.000005,0.000013
1935,0.000004,0.000017
1936,0.000006,0.000015
1937,0.000005,0.000018
1938,0.000005,0.000014
1939,0.000004,0.000022
1940,0.000002,0.000028
1941,0.000003,0.000021
1942,0.000008,0.000035
1943,0.000005,0.000046
1944,0.000007,0.000051
1945,0.000008,0.000045
1946,0.000005,0.000038
1947,0.000004,0.000048
1948,0.000004,0.000044
1949,0.000004,0.000044
1950,0.000008,0.000054
1951,0.000007,0.000053
1952,0.000004,0.000063
1953,0.000007,0.000085
1954,0.000008,0.000126
1955,0.000006,0.000173
1956,0.000007,0.000230
1957,0.000010,0.000247
1958,0.000010,0.000259
1959,0.000006,0.000269
1960,0.000006,0.000291
1961,0.000007,0.000304
1962,0.000011,0.000378
1963,0.000005,0.000349
1964,0.000008,0.000351
1965,0.000007,0.000309
1966,0.000016,0.000297
1967,0.000024,0.000315
1968,0.000043,0.000329
1969,0.000041,0.000342
1970,0.000055,0.000315
1971,0.000049,0.000312
1972,0.000059,0.000290
1973,0.000069,0.000289
1974,0.000076,0.000281
1975,0.000074,0.000278
1976,0.000067,0.000382
1977,0.000062,0.000382
1978,0.000047,0.000338
1979,0.000052,0.000329
1980,0.000037,0.000335
1981,0.000029,0.000310
1982,0.000021,0.000285
1983,0.000023,0.000228
1984,0.000017,0.000212
1985,0.000013,0.000214
1986,0.000013,0.000184
1987,0.000011,0.000200
1988,0.000013,0.000167
1989,0.000011,0.000157
1990,0.000011,0.000173
1991,0.000015,0.000167
1992,0.000014,0.000149
1993,0.000014,0.000173
1994,0.000014,0.000149
1995,0.000018,0.000138
1996,0.000013,0.000129
1997,0.000015,0.000122
1998,0.000019,0.000110
1999,0.000019,0.000122
2000,0.000021,0.000127
2001,0.000025,0.000116
2002,0.000025,0.000120
2003,0.000035,0.000130
2004,0.000032,0.000133
2005,0.000038,0.000125
2006,0.000032,0.000120
2007,0.000033,0.000118
2008,0.000028,0.000114
2009,0.000026,0.000107
2010,0.000028,0.000110
2011,0.000025,0.000111
2012,0.000023,0.000111
2013,0.000020,0.000105
2014,0.000032,0.000100
2015,0.000026,0.000086
2016,0.000042,0.000097
2017,0.000041,0.000084
2018,0.000043,0.000091
2019,0.000038,0.000088
2020,0.000046,0.000076
