year,Johny
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,6
1889,0
1890,6
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,5
1900,7
1901,0
1902,7
1903,0
1904,7
1905,12
1906,9
1907,10
1908,6
1909,14
1910,6
1911,8
1912,26
1913,23
1914,20
1915,27
1916,30
1917,33
1918,36
1919,51
1920,54
1921,41
1922,40
1923,52
1924,49
1925,44
1926,54
1927,61
1928,58
1929,78
1930,49
1931,51
1932,46
1933,47
1934,47
1935,48
1936,38
1937,39
1938,34
1939,35
1940,37
1941,35
1942,27
1943,40
1944,34
1945,36
1946,32
1947,36
1948,37
1949,37
1950,22
1951,36
1952,27
1953,23
1954,11
1955,19
1956,21
1957,27
1958,25
1959,22
1960,28
1961,15
1962,26
1963,22
1964,22
1965,22
1966,28
1967,27
1968,16
1969,24
1970,25
1971,16
1972,14
1973,19
1974,14
1975,14
1976,16
1977,17
1978,19
1979,19
1980,12
1981,26
1982,17
1983,29
1984,20
1985,19
1986,24
1987,31
1988,23
1989,31
1990,54
1991,36
1992,42
1993,34
1994,34
1995,34
1996,27
1997,30
1998,26
1999,31
2000,28
2001,51
2002,35
2003,37
2004,38
2005,40
2006,37
2007,42
2008,34
2009,31
2010,39
2011,32
2012,28
