year,Jeralyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,13
1931,0
1932,9
1933,0
1934,9
1935,8
1936,8
1937,10
1938,8
1939,7
1940,9
1941,18
1942,21
1943,17
1944,7
1945,18
1946,23
1947,27
1948,19
1949,26
1950,21
1951,24
1952,20
1953,19
1954,27
1955,22
1956,26
1957,24
1958,16
1959,17
1960,19
1961,28
1962,27
1963,28
1964,25
1965,20
1966,17
1967,18
1968,18
1969,18
1970,13
1971,13
1972,15
1973,18
1974,13
1975,6
1976,12
1977,7
1978,9
1979,10
1980,9
1981,16
1982,18
1983,12
1984,16
1985,9
1986,14
1987,13
1988,10
1989,13
1990,12
1991,18
1992,12
1993,7
1994,8
1995,13
1996,13
1997,19
1998,22
1999,18
2000,15
2001,15
2002,16
2003,19
2004,19
2005,15
2006,13
2007,15
2008,12
2009,16
2010,9
2011,13
2012,15
