year,Junius
1880,22
1881,22
1882,23
1883,20
1884,16
1885,11
1886,13
1887,15
1888,15
1889,16
1890,16
1891,26
1892,29
1893,23
1894,28
1895,23
1896,31
1897,18
1898,20
1899,25
1900,32
1901,22
1902,23
1903,13
1904,24
1905,22
1906,23
1907,31
1908,36
1909,32
1910,42
1911,34
1912,61
1913,71
1914,83
1915,116
1916,139
1917,115
1918,128
1919,121
1920,150
1921,127
1922,133
1923,126
1924,132
1925,149
1926,130
1927,111
1928,110
1929,109
1930,82
1931,79
1932,70
1933,74
1934,73
1935,54
1936,53
1937,59
1938,50
1939,46
1940,43
1941,37
1942,60
1943,58
1944,46
1945,35
1946,47
1947,55
1948,62
1949,49
1950,65
1951,42
1952,39
1953,40
1954,43
1955,54
1956,37
1957,36
1958,29
1959,37
1960,27
1961,43
1962,27
1963,30
1964,32
1965,35
1966,23
1967,24
1968,23
1969,25
1970,25
1971,21
1972,33
1973,13
1974,22
1975,19
1976,23
1977,11
1978,14
1979,16
1980,24
1981,11
1982,17
1983,19
1984,14
1985,14
1986,12
1987,12
1988,14
1989,12
1990,15
1991,13
1992,16
1993,15
1994,7
1995,7
1996,9
1997,11
1998,10
1999,8
2000,9
2001,9
2002,11
2003,11
2004,9
2005,10
2006,10
2007,7
2008,11
2009,8
2010,13
2011,9
2012,6
