year,Jacquelyne
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,6
1920,6
1921,8
1922,9
1923,15
1924,15
1925,11
1926,22
1927,24
1928,13
1929,25
1930,19
1931,23
1932,29
1933,20
1934,21
1935,23
1936,26
1937,26
1938,18
1939,24
1940,25
1941,31
1942,44
1943,54
1944,44
1945,32
1946,50
1947,47
1948,53
1949,50
1950,62
1951,48
1952,53
1953,53
1954,46
1955,43
1956,49
1957,34
1958,42
1959,46
1960,42
1961,66
1962,21
1963,42
1964,41
1965,41
1966,36
1967,48
1968,32
1969,28
1970,29
1971,31
1972,24
1973,20
1974,23
1975,22
1976,14
1977,22
1978,20
1979,32
1980,26
1981,43
1982,52
1983,48
1984,56
1985,34
1986,39
1987,53
1988,58
1989,59
1990,44
1991,40
1992,44
1993,53
1994,51
1995,38
1996,37
1997,43
1998,30
1999,40
2000,37
2001,46
2002,40
2003,34
2004,28
2005,21
2006,29
2007,24
2008,21
2009,12
2010,15
2011,14
2012,14
