year,Jacquelin
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,8
1914,13
1915,14
1916,13
1917,10
1918,9
1919,7
1920,22
1921,25
1922,29
1923,31
1924,52
1925,62
1926,60
1927,87
1928,81
1929,90
1930,99
1931,99
1932,90
1933,82
1934,76
1935,72
1936,84
1937,74
1938,103
1939,87
1940,71
1941,77
1942,88
1943,89
1944,93
1945,92
1946,92
1947,115
1948,95
1949,118
1950,115
1951,112
1952,95
1953,93
1954,124
1955,91
1956,86
1957,88
1958,89
1959,94
1960,94
1961,187
1962,150
1963,143
1964,184
1965,138
1966,112
1967,104
1968,105
1969,106
1970,80
1971,81
1972,70
1973,64
1974,54
1975,56
1976,40
1977,73
1978,60
1979,66
1980,69
1981,79
1982,88
1983,102
1984,74
1985,85
1986,83
1987,108
1988,114
1989,116
1990,137
1991,147
1992,123
1993,123
1994,101
1995,129
1996,134
1997,135
1998,118
1999,130
2000,211
2001,188
2002,163
2003,184
2004,152
2005,144
2006,158
2007,142
2008,145
2009,120
2010,102
2011,66
2012,64
