year,Juliane
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,5
1942,8
1943,6
1944,6
1945,0
1946,13
1947,14
1948,9
1949,9
1950,14
1951,15
1952,13
1953,19
1954,16
1955,12
1956,23
1957,24
1958,25
1959,27
1960,19
1961,30
1962,27
1963,33
1964,36
1965,51
1966,43
1967,42
1968,51
1969,64
1970,84
1971,67
1972,68
1973,65
1974,63
1975,51
1976,39
1977,57
1978,34
1979,40
1980,34
1981,32
1982,29
1983,32
1984,46
1985,54
1986,50
1987,46
1988,38
1989,41
1990,30
1991,39
1992,35
1993,21
1994,19
1995,30
1996,32
1997,23
1998,35
1999,29
2000,21
2001,29
2002,22
2003,25
2004,17
2005,12
2006,10
2007,11
2008,14
2009,15
2010,8
2011,12
2012,9
