year,Jearl
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,7
1920,5
1921,9
1922,7
1923,0
1924,11
1925,7
1926,15
1927,17
1928,0
1929,15
1930,20
1931,12
1932,21
1933,17
1934,16
1935,11
1936,13
1937,26
1938,18
1939,12
1940,15
1941,28
1942,29
1943,20
1944,15
1945,17
1946,5
1947,12
1948,10
1949,13
1950,17
1951,9
1952,14
1953,13
1954,6
1955,12
1956,6
1957,0
1958,11
1959,5
1960,9
1961,9
1962,6
1963,5
1964,10
1965,0
1966,0
1967,0
1968,0
1969,9
1970,5
1971,6
1972,0
1973,0
1974,6
1975,0
1976,0
1977,0
1978,0
1979,0
1980,5
1981,0
1982,0
1983,6
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
