year,Jeaneen
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,5
1930,9
1931,7
1932,7
1933,9
1934,0
1935,11
1936,10
1937,11
1938,7
1939,14
1940,7
1941,10
1942,9
1943,12
1944,8
1945,8
1946,10
1947,11
1948,14
1949,16
1950,9
1951,15
1952,13
1953,10
1954,22
1955,16
1956,18
1957,16
1958,16
1959,20
1960,22
1961,16
1962,31
1963,20
1964,27
1965,21
1966,26
1967,31
1968,22
1969,19
1970,33
1971,27
1972,18
1973,31
1974,22
1975,16
1976,19
1977,16
1978,12
1979,14
1980,17
1981,13
1982,13
1983,15
1984,11
1985,7
1986,7
1987,0
1988,5
1989,0
1990,0
1991,5
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
