year,Jearld
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,5
1921,0
1922,8
1923,0
1924,0
1925,0
1926,9
1927,11
1928,7
1929,6
1930,5
1931,8
1932,8
1933,7
1934,13
1935,14
1936,12
1937,26
1938,8
1939,17
1940,18
1941,29
1942,18
1943,11
1944,17
1945,13
1946,14
1947,16
1948,13
1949,11
1950,19
1951,15
1952,7
1953,10
1954,15
1955,15
1956,10
1957,11
1958,12
1959,11
1960,11
1961,11
1962,8
1963,10
1964,0
1965,5
1966,7
1967,6
1968,5
1969,7
1970,7
1971,10
1972,0
1973,0
1974,5
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,6
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
