year,Jorge (F),Jorge (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000015
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000006
1914,0.000000,0.000006
1915,0.000000,0.000004
1916,0.000000,0.000005
1917,0.000000,0.000004
1918,0.000000,0.000004
1919,0.000000,0.000012
1920,0.000000,0.000011
1921,0.000000,0.000009
1922,0.000000,0.000010
1923,0.000000,0.000013
1924,0.000000,0.000013
1925,0.000000,0.000012
1926,0.000000,0.000021
1927,0.000000,0.000025
1928,0.000000,0.000026
1929,0.000000,0.000021
1930,0.000000,0.000024
1931,0.000000,0.000027
1932,0.000000,0.000017
1933,0.000000,0.000020
1934,0.000000,0.000019
1935,0.000000,0.000022
1936,0.000000,0.000019
1937,0.000000,0.000021
1938,0.000000,0.000024
1939,0.000000,0.000023
1940,0.000000,0.000029
1941,0.000000,0.000025
1942,0.000000,0.000021
1943,0.000000,0.000028
1944,0.000000,0.000036
1945,0.000000,0.000048
1946,0.000000,0.000038
1947,0.000000,0.000042
1948,0.000000,0.000044
1949,0.000000,0.000053
1950,0.000000,0.000054
1951,0.000000,0.000060
1952,0.000000,0.000067
1953,0.000002,0.000070
1954,0.000000,0.000087
1955,0.000000,0.000092
1956,0.000000,0.000090
1957,0.000000,0.000100
1958,0.000001,0.000101
1959,0.000000,0.000112
1960,0.000000,0.000132
1961,0.000001,0.000131
1962,0.000000,0.000155
1963,0.000002,0.000171
1964,0.000002,0.000156
1965,0.000002,0.000181
1966,0.000002,0.000219
1967,0.000002,0.000243
1968,0.000003,0.000268
1969,0.000002,0.000282
1970,0.000004,0.000310
1971,0.000003,0.000335
1972,0.000002,0.000381
1973,0.000004,0.000437
1974,0.000005,0.000470
1975,0.000005,0.000510
1976,0.000003,0.000545
1977,0.000004,0.000498
1978,0.000006,0.000515
1979,0.000009,0.000606
1980,0.000006,0.000580
1981,0.000003,0.000610
1982,0.000007,0.000577
1983,0.000005,0.000551
1984,0.000005,0.000535
1985,0.000006,0.000642
1986,0.000006,0.000614
1987,0.000005,0.000602
1988,0.000006,0.000669
1989,0.000006,0.000703
1990,0.000006,0.000737
1991,0.000005,0.000783
1992,0.000007,0.000860
1993,0.000006,0.000900
1994,0.000008,0.000886
1995,0.000008,0.000903
1996,0.000005,0.000950
1997,0.000004,0.000891
1998,0.000004,0.000942
1999,0.000004,0.000896
2000,0.000004,0.000925
2001,0.000003,0.000921
2002,0.000003,0.000925
2003,0.000003,0.000916
2004,0.000002,0.000901
2005,0.000002,0.000895
2006,0.000000,0.000890
2007,0.000001,0.000818
2008,0.000000,0.000754
2009,0.000000,0.000659
2010,0.000000,0.000622
2011,0.000000,0.000558
2012,0.000002,0.000531
2013,0.000000,0.000506
2014,0.000000,0.000499
2015,0.000000,0.000462
2016,0.000000,0.000470
2017,0.000000,0.000434
2018,0.000000,0.000394
2019,0.000000,0.000393
2020,0.000000,0.000370
