year,Juanda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,6
1918,5
1919,0
1920,6
1921,5
1922,7
1923,13
1924,9
1925,5
1926,8
1927,12
1928,6
1929,14
1930,18
1931,10
1932,5
1933,9
1934,7
1935,0
1936,11
1937,5
1938,0
1939,8
1940,5
1941,9
1942,7
1943,10
1944,5
1945,6
1946,7
1947,10
1948,7
1949,14
1950,10
1951,14
1952,17
1953,13
1954,7
1955,6
1956,16
1957,6
1958,11
1959,8
1960,12
1961,11
1962,13
1963,5
1964,11
1965,12
1966,9
1967,9
1968,8
1969,0
1970,7
1971,10
1972,5
1973,0
1974,7
1975,0
1976,0
1977,6
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
