year,Jacquie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,11
1925,0
1926,10
1927,11
1928,10
1929,13
1930,13
1931,19
1932,20
1933,15
1934,18
1935,22
1936,21
1937,10
1938,16
1939,22
1940,16
1941,15
1942,21
1943,32
1944,26
1945,27
1946,27
1947,34
1948,37
1949,15
1950,28
1951,17
1952,16
1953,20
1954,27
1955,15
1956,24
1957,35
1958,35
1959,29
1960,51
1961,65
1962,87
1963,32
1964,48
1965,42
1966,39
1967,20
1968,22
1969,21
1970,25
1971,19
1972,14
1973,9
1974,25
1975,16
1976,21
1977,7
1978,15
1979,22
1980,15
1981,14
1982,23
1983,16
1984,12
1985,12
1986,11
1987,12
1988,18
1989,16
1990,10
1991,7
1992,9
1993,0
1994,8
1995,0
1996,6
1997,0
1998,0
1999,9
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
