year,Jama
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,5
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,7
1928,0
1929,5
1930,0
1931,5
1932,7
1933,5
1934,0
1935,8
1936,0
1937,0
1938,0
1939,0
1940,5
1941,5
1942,0
1943,8
1944,6
1945,10
1946,9
1947,9
1948,21
1949,16
1950,13
1951,16
1952,22
1953,32
1954,40
1955,41
1956,37
1957,24
1958,36
1959,33
1960,34
1961,54
1962,43
1963,50
1964,49
1965,36
1966,40
1967,49
1968,40
1969,34
1970,30
1971,40
1972,32
1973,42
1974,43
1975,36
1976,49
1977,40
1978,44
1979,44
1980,35
1981,36
1982,20
1983,20
1984,19
1985,19
1986,19
1987,12
1988,18
1989,11
1990,9
1991,13
1992,6
1993,9
1994,7
1995,10
1996,5
1997,8
1998,5
1999,12
2000,8
2001,6
2002,0
2003,9
2004,5
2005,6
2006,8
2007,8
2008,7
2009,0
2010,0
2011,0
2012,0
