year,Joaquin (F),Joaquin (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000024
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000014
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000013
1904,0.000000,0.000012
1905,0.000000,0.000000
1906,0.000000,0.000012
1907,0.000000,0.000011
1908,0.000000,0.000020
1909,0.000000,0.000000
1910,0.000000,0.000015
1911,0.000000,0.000009
1912,0.000000,0.000013
1913,0.000000,0.000023
1914,0.000000,0.000020
1915,0.000000,0.000017
1916,0.000000,0.000020
1917,0.000000,0.000019
1918,0.000000,0.000025
1919,0.000000,0.000021
1920,0.000000,0.000026
1921,0.000000,0.000019
1922,0.000000,0.000031
1923,0.000000,0.000025
1924,0.000000,0.000022
1925,0.000000,0.000024
1926,0.000000,0.000024
1927,0.000000,0.000028
1928,0.000000,0.000030
1929,0.000000,0.000026
1930,0.000000,0.000033
1931,0.000000,0.000025
1932,0.000000,0.000023
1933,0.000000,0.000020
1934,0.000000,0.000024
1935,0.000000,0.000018
1936,0.000000,0.000022
1937,0.000000,0.000019
1938,0.000000,0.000022
1939,0.000000,0.000025
1940,0.000000,0.000017
1941,0.000000,0.000021
1942,0.000000,0.000018
1943,0.000000,0.000015
1944,0.000000,0.000019
1945,0.000000,0.000022
1946,0.000000,0.000015
1947,0.000000,0.000015
1948,0.000000,0.000017
1949,0.000000,0.000019
1950,0.000000,0.000020
1951,0.000000,0.000020
1952,0.000000,0.000022
1953,0.000000,0.000015
1954,0.000000,0.000017
1955,0.000000,0.000016
1956,0.000000,0.000021
1957,0.000000,0.000020
1958,0.000000,0.000023
1959,0.000000,0.000022
1960,0.000000,0.000023
1961,0.000000,0.000021
1962,0.000000,0.000023
1963,0.000000,0.000027
1964,0.000000,0.000030
1965,0.000000,0.000031
1966,0.000000,0.000029
1967,0.000000,0.000035
1968,0.000000,0.000034
1969,0.000000,0.000039
1970,0.000000,0.000045
1971,0.000000,0.000052
1972,0.000000,0.000060
1973,0.000002,0.000072
1974,0.000000,0.000067
1975,0.000000,0.000083
1976,0.000002,0.000082
1977,0.000002,0.000065
1978,0.000002,0.000068
1979,0.000000,0.000078
1980,0.000000,0.000078
1981,0.000000,0.000063
1982,0.000000,0.000071
1983,0.000000,0.000067
1984,0.000001,0.000071
1985,0.000000,0.000071
1986,0.000000,0.000062
1987,0.000000,0.000066
1988,0.000001,0.000061
1989,0.000000,0.000068
1990,0.000000,0.000071
1991,0.000000,0.000066
1992,0.000002,0.000070
1993,0.000000,0.000079
1994,0.000000,0.000080
1995,0.000001,0.000085
1996,0.000000,0.000083
1997,0.000000,0.000086
1998,0.000000,0.000096
1999,0.000000,0.000102
2000,0.000000,0.000097
2001,0.000000,0.000121
2002,0.000002,0.000125
2003,0.000000,0.000147
2004,0.000000,0.000186
2005,0.000000,0.000220
2006,0.000000,0.000310
2007,0.000000,0.000295
2008,0.000001,0.000317
2009,0.000000,0.000293
2010,0.000000,0.000279
2011,0.000000,0.000260
2012,0.000000,0.000265
2013,0.000000,0.000261
2014,0.000000,0.000282
2015,0.000000,0.000293
2016,0.000000,0.000273
2017,0.000000,0.000253
2018,0.000000,0.000271
2019,0.000000,0.000289
2020,0.000000,0.000324
