year,Jeffory
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,5
1944,0
1945,7
1946,8
1947,10
1948,7
1949,14
1950,12
1951,20
1952,21
1953,19
1954,23
1955,33
1956,46
1957,49
1958,41
1959,40
1960,48
1961,47
1962,51
1963,43
1964,49
1965,43
1966,36
1967,52
1968,40
1969,41
1970,32
1971,24
1972,19
1973,22
1974,22
1975,17
1976,17
1977,18
1978,10
1979,19
1980,13
1981,14
1982,14
1983,5
1984,12
1985,10
1986,13
1987,10
1988,8
1989,13
1990,11
1991,12
1992,8
1993,0
1994,8
1995,0
1996,0
1997,7
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,5
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
