year,Jamika
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,6
1972,5
1973,14
1974,19
1975,27
1976,27
1977,37
1978,39
1979,46
1980,53
1981,56
1982,48
1983,57
1984,43
1985,54
1986,45
1987,47
1988,51
1989,36
1990,57
1991,58
1992,69
1993,117
1994,88
1995,59
1996,51
1997,33
1998,24
1999,23
2000,11
2001,16
2002,10
2003,11
2004,10
2005,10
2006,0
2007,6
2008,6
2009,0
2010,5
2011,0
2012,5
