year,Jenevieve
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,5
1915,0
1916,7
1917,6
1918,14
1919,7
1920,5
1921,8
1922,7
1923,8
1924,0
1925,6
1926,5
1927,0
1928,6
1929,5
1930,5
1931,5
1932,6
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,5
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,6
1971,0
1972,5
1973,6
1974,7
1975,8
1976,8
1977,15
1978,10
1979,10
1980,15
1981,9
1982,15
1983,14
1984,10
1985,14
1986,14
1987,10
1988,13
1989,13
1990,14
1991,14
1992,10
1993,14
1994,8
1995,17
1996,10
1997,15
1998,19
1999,14
2000,24
2001,21
2002,26
2003,27
2004,24
2005,19
2006,42
2007,34
2008,39
2009,39
2010,58
2011,46
2012,45
