year,Jacqualyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,11
1930,7
1931,8
1932,8
1933,9
1934,0
1935,10
1936,12
1937,11
1938,10
1939,9
1940,9
1941,10
1942,11
1943,22
1944,14
1945,10
1946,25
1947,22
1948,23
1949,17
1950,30
1951,18
1952,26
1953,26
1954,18
1955,15
1956,10
1957,18
1958,18
1959,7
1960,11
1961,18
1962,10
1963,9
1964,11
1965,13
1966,11
1967,9
1968,13
1969,11
1970,14
1971,6
1972,6
1973,6
1974,7
1975,8
1976,5
1977,11
1978,9
1979,12
1980,21
1981,21
1982,16
1983,16
1984,20
1985,16
1986,13
1987,17
1988,14
1989,23
1990,25
1991,15
1992,16
1993,21
1994,24
1995,18
1996,19
1997,10
1998,9
1999,14
2000,16
2001,12
2002,10
2003,9
2004,7
2005,0
2006,0
2007,7
2008,0
2009,0
2010,0
2011,0
2012,0
