year,Jenelle
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,6
1918,0
1919,7
1920,8
1921,10
1922,11
1923,12
1924,13
1925,6
1926,10
1927,9
1928,0
1929,10
1930,11
1931,9
1932,12
1933,9
1934,16
1935,7
1936,10
1937,12
1938,20
1939,21
1940,19
1941,9
1942,8
1943,8
1944,8
1945,24
1946,13
1947,14
1948,22
1949,17
1950,16
1951,22
1952,20
1953,18
1954,21
1955,23
1956,21
1957,28
1958,30
1959,30
1960,18
1961,34
1962,40
1963,34
1964,33
1965,34
1966,46
1967,52
1968,64
1969,70
1970,62
1971,73
1972,76
1973,77
1974,106
1975,86
1976,123
1977,151
1978,201
1979,218
1980,222
1981,254
1982,244
1983,212
1984,220
1985,247
1986,191
1987,198
1988,157
1989,161
1990,154
1991,168
1992,149
1993,110
1994,91
1995,92
1996,95
1997,76
1998,96
1999,70
2000,57
2001,91
2002,79
2003,83
2004,80
2005,73
2006,89
2007,79
2008,84
2009,62
2010,64
2011,129
2012,104
