year,Joesph (F),Joesph (M)
1880,0.000000,0.000000
1881,0.000000,0.000026
1882,0.000000,0.000032
1883,0.000000,0.000000
1884,0.000000,0.000041
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000024
1888,0.000000,0.000017
1889,0.000000,0.000021
1890,0.000000,0.000017
1891,0.000000,0.000017
1892,0.000000,0.000033
1893,0.000000,0.000018
1894,0.000000,0.000000
1895,0.000000,0.000026
1896,0.000000,0.000014
1897,0.000000,0.000000
1898,0.000000,0.000018
1899,0.000000,0.000024
1900,0.000000,0.000040
1901,0.000000,0.000017
1902,0.000000,0.000018
1903,0.000000,0.000021
1904,0.000000,0.000025
1905,0.000000,0.000000
1906,0.000000,0.000026
1907,0.000000,0.000021
1908,0.000000,0.000000
1909,0.000000,0.000020
1910,0.000000,0.000029
1911,0.000000,0.000029
1912,0.000000,0.000034
1913,0.000000,0.000049
1914,0.000000,0.000054
1915,0.000000,0.000046
1916,0.000000,0.000049
1917,0.000000,0.000052
1918,0.000000,0.000054
1919,0.000000,0.000049
1920,0.000000,0.000051
1921,0.000000,0.000049
1922,0.000000,0.000053
1923,0.000000,0.000054
1924,0.000000,0.000053
1925,0.000000,0.000052
1926,0.000000,0.000058
1927,0.000000,0.000056
1928,0.000000,0.000056
1929,0.000000,0.000055
1930,0.000000,0.000047
1931,0.000000,0.000048
1932,0.000000,0.000045
1933,0.000000,0.000040
1934,0.000000,0.000040
1935,0.000000,0.000043
1936,0.000000,0.000041
1937,0.000000,0.000042
1938,0.000000,0.000037
1939,0.000000,0.000044
1940,0.000000,0.000046
1941,0.000000,0.000047
1942,0.000000,0.000040
1943,0.000000,0.000045
1944,0.000000,0.000045
1945,0.000000,0.000038
1946,0.000000,0.000040
1947,0.000000,0.000049
1948,0.000000,0.000048
1949,0.000000,0.000051
1950,0.000000,0.000055
1951,0.000000,0.000055
1952,0.000000,0.000056
1953,0.000000,0.000064
1954,0.000000,0.000070
1955,0.000000,0.000076
1956,0.000000,0.000064
1957,0.000000,0.000076
1958,0.000000,0.000068
1959,0.000000,0.000060
1960,0.000000,0.000063
1961,0.000000,0.000067
1962,0.000000,0.000064
1963,0.000000,0.000069
1964,0.000000,0.000068
1965,0.000000,0.000061
1966,0.000001,0.000062
1967,0.000000,0.000054
1968,0.000002,0.000054
1969,0.000000,0.000051
1970,0.000000,0.000063
1971,0.000000,0.000061
1972,0.000000,0.000067
1973,0.000000,0.000068
1974,0.000000,0.000071
1975,0.000000,0.000081
1976,0.000000,0.000082
1977,0.000000,0.000082
1978,0.000000,0.000081
1979,0.000000,0.000076
1980,0.000000,0.000073
1981,0.000000,0.000074
1982,0.000000,0.000071
1983,0.000000,0.000061
1984,0.000000,0.000063
1985,0.000000,0.000056
1986,0.000000,0.000048
1987,0.000000,0.000045
1988,0.000000,0.000046
1989,0.000000,0.000033
1990,0.000000,0.000024
1991,0.000000,0.000026
1992,0.000000,0.000024
1993,0.000000,0.000024
1994,0.000000,0.000022
1995,0.000000,0.000027
1996,0.000000,0.000022
1997,0.000000,0.000021
1998,0.000000,0.000023
1999,0.000000,0.000024
2000,0.000000,0.000021
2001,0.000000,0.000022
2002,0.000000,0.000019
2003,0.000000,0.000018
2004,0.000000,0.000020
2005,0.000000,0.000022
2006,0.000000,0.000021
2007,0.000000,0.000019
2008,0.000000,0.000016
2009,0.000000,0.000019
2010,0.000000,0.000017
2011,0.000000,0.000013
2012,0.000000,0.000015
2013,0.000000,0.000010
2014,0.000000,0.000010
2015,0.000000,0.000007
2016,0.000000,0.000008
2017,0.000000,0.000005
2018,0.000000,0.000005
2019,0.000000,0.000004
2020,0.000000,0.000007
