year,Jeneane
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,7
1930,6
1931,12
1932,9
1933,6
1934,6
1935,0
1936,10
1937,11
1938,10
1939,10
1940,7
1941,12
1942,8
1943,12
1944,6
1945,8
1946,13
1947,10
1948,10
1949,7
1950,5
1951,8
1952,9
1953,10
1954,8
1955,11
1956,11
1957,7
1958,6
1959,7
1960,21
1961,15
1962,7
1963,7
1964,5
1965,6
1966,9
1967,0
1968,10
1969,13
1970,22
1971,17
1972,14
1973,12
1974,19
1975,21
1976,16
1977,9
1978,8
1979,11
1980,11
1981,9
1982,0
1983,9
1984,8
1985,0
1986,9
1987,6
1988,6
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,6
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
