year,Janean
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,12
1935,7
1936,0
1937,8
1938,7
1939,9
1940,14
1941,7
1942,12
1943,10
1944,12
1945,9
1946,16
1947,27
1948,20
1949,16
1950,25
1951,26
1952,32
1953,26
1954,29
1955,16
1956,23
1957,26
1958,26
1959,42
1960,51
1961,31
1962,53
1963,27
1964,39
1965,32
1966,45
1967,29
1968,35
1969,50
1970,46
1971,24
1972,35
1973,45
1974,35
1975,34
1976,29
1977,38
1978,32
1979,30
1980,28
1981,32
1982,27
1983,38
1984,24
1985,26
1986,20
1987,13
1988,15
1989,14
1990,19
1991,14
1992,13
1993,13
1994,7
1995,6
1996,5
1997,5
1998,6
1999,6
2000,6
2001,0
2002,0
2003,7
2004,5
2005,5
2006,6
2007,0
2008,0
2009,0
2010,5
2011,5
2012,0
