year,Jeanann
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,6
1925,7
1926,0
1927,0
1928,0
1929,8
1930,5
1931,5
1932,10
1933,5
1934,8
1935,6
1936,7
1937,12
1938,9
1939,7
1940,5
1941,8
1942,9
1943,13
1944,11
1945,9
1946,11
1947,16
1948,13
1949,12
1950,11
1951,12
1952,14
1953,10
1954,7
1955,7
1956,8
1957,16
1958,15
1959,16
1960,24
1961,20
1962,22
1963,28
1964,21
1965,18
1966,11
1967,13
1968,18
1969,12
1970,10
1971,11
1972,12
1973,9
1974,7
1975,6
1976,11
1977,5
1978,5
1979,5
1980,0
1981,11
1982,6
1983,6
1984,0
1985,5
1986,0
1987,0
1988,7
1989,5
1990,0
1991,7
1992,0
1993,0
1994,0
1995,6
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,5
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
