year,Jess (F),Jess (M)
1880,0.000000,0.000511
1881,0.000000,0.000441
1882,0.000000,0.000551
1883,0.000000,0.000516
1884,0.000021,0.000509
1885,0.000021,0.000494
1886,0.000000,0.000548
1887,0.000000,0.000501
1888,0.000020,0.000441
1889,0.000000,0.000419
1890,0.000017,0.000378
1891,0.000024,0.000303
1892,0.000000,0.000323
1893,0.000000,0.000329
1894,0.000000,0.000307
1895,0.000000,0.000291
1896,0.000000,0.000243
1897,0.000017,0.000317
1898,0.000000,0.000283
1899,0.000015,0.000254
1900,0.000013,0.000284
1901,0.000000,0.000246
1902,0.000016,0.000222
1903,0.000000,0.000212
1904,0.000000,0.000253
1905,0.000000,0.000201
1906,0.000000,0.000156
1907,0.000000,0.000189
1908,0.000000,0.000180
1909,0.000000,0.000170
1910,0.000000,0.000174
1911,0.000008,0.000165
1912,0.000000,0.000173
1913,0.000000,0.000158
1914,0.000000,0.000182
1915,0.000004,0.000315
1916,0.000004,0.000251
1917,0.000000,0.000175
1918,0.000000,0.000178
1919,0.000006,0.000168
1920,0.000004,0.000147
1921,0.000002,0.000145
1922,0.000003,0.000108
1923,0.000000,0.000119
1924,0.000000,0.000110
1925,0.000002,0.000115
1926,0.000000,0.000104
1927,0.000002,0.000116
1928,0.000002,0.000088
1929,0.000000,0.000102
1930,0.000000,0.000094
1931,0.000000,0.000074
1932,0.000000,0.000092
1933,0.000000,0.000089
1934,0.000000,0.000080
1935,0.000000,0.000080
1936,0.000000,0.000076
1937,0.000000,0.000073
1938,0.000000,0.000068
1939,0.000000,0.000075
1940,0.000000,0.000074
1941,0.000000,0.000067
1942,0.000000,0.000070
1943,0.000002,0.000067
1944,0.000000,0.000067
1945,0.000000,0.000063
1946,0.000000,0.000069
1947,0.000000,0.000072
1948,0.000000,0.000064
1949,0.000000,0.000067
1950,0.000000,0.000055
1951,0.000000,0.000063
1952,0.000000,0.000065
1953,0.000000,0.000062
1954,0.000000,0.000062
1955,0.000000,0.000066
1956,0.000001,0.000066
1957,0.000000,0.000065
1958,0.000000,0.000061
1959,0.000000,0.000055
1960,0.000000,0.000069
1961,0.000000,0.000072
1962,0.000000,0.000073
1963,0.000000,0.000072
1964,0.000000,0.000057
1965,0.000001,0.000050
1966,0.000000,0.000058
1967,0.000000,0.000054
1968,0.000000,0.000049
1969,0.000000,0.000055
1970,0.000000,0.000053
1971,0.000000,0.000068
1972,0.000000,0.000077
1973,0.000000,0.000094
1974,0.000002,0.000102
1975,0.000000,0.000094
1976,0.000002,0.000091
1977,0.000000,0.000098
1978,0.000003,0.000109
1979,0.000003,0.000092
1980,0.000000,0.000085
1981,0.000000,0.000080
1982,0.000002,0.000096
1983,0.000003,0.000088
1984,0.000003,0.000075
1985,0.000002,0.000073
1986,0.000002,0.000068
1987,0.000002,0.000060
1988,0.000002,0.000054
1989,0.000003,0.000045
1990,0.000002,0.000054
1991,0.000004,0.000047
1992,0.000002,0.000038
1993,0.000003,0.000040
1994,0.000002,0.000040
1995,0.000002,0.000037
1996,0.000004,0.000039
1997,0.000002,0.000032
1998,0.000004,0.000025
1999,0.000000,0.000026
2000,0.000003,0.000020
2001,0.000003,0.000022
2002,0.000003,0.000019
2003,0.000002,0.000017
2004,0.000002,0.000021
2005,0.000002,0.000021
2006,0.000003,0.000015
2007,0.000004,0.000017
2008,0.000003,0.000014
2009,0.000000,0.000012
2010,0.000000,0.000009
2011,0.000001,0.000010
2012,0.000000,0.000009
2013,0.000002,0.000008
2014,0.000001,0.000009
2015,0.000000,0.000009
2016,0.000000,0.000008
2017,0.000001,0.000006
2018,0.000000,0.000009
2019,0.000002,0.000006
2020,0.000002,0.000006
