year,Jacqlyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,6
1946,7
1947,7
1948,5
1949,5
1950,8
1951,9
1952,8
1953,5
1954,9
1955,10
1956,9
1957,5
1958,6
1959,0
1960,0
1961,6
1962,8
1963,5
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,8
1973,0
1974,0
1975,0
1976,9
1977,12
1978,14
1979,30
1980,23
1981,14
1982,28
1983,31
1984,27
1985,27
1986,20
1987,34
1988,33
1989,31
1990,25
1991,32
1992,22
1993,25
1994,23
1995,21
1996,22
1997,13
1998,8
1999,14
2000,11
2001,14
2002,10
2003,9
2004,0
2005,8
2006,9
2007,5
2008,5
2009,7
2010,7
2011,6
2012,0
