year,Julieta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,5
1914,0
1915,0
1916,8
1917,0
1918,0
1919,10
1920,7
1921,12
1922,10
1923,11
1924,20
1925,15
1926,16
1927,5
1928,19
1929,6
1930,16
1931,13
1932,13
1933,16
1934,9
1935,11
1936,15
1937,13
1938,22
1939,15
1940,10
1941,13
1942,13
1943,8
1944,18
1945,6
1946,16
1947,18
1948,10
1949,14
1950,10
1951,15
1952,19
1953,11
1954,13
1955,11
1956,22
1957,25
1958,12
1959,26
1960,23
1961,28
1962,19
1963,21
1964,15
1965,22
1966,12
1967,19
1968,20
1969,31
1970,27
1971,34
1972,25
1973,39
1974,32
1975,24
1976,28
1977,29
1978,24
1979,36
1980,39
1981,23
1982,29
1983,28
1984,31
1985,55
1986,43
1987,41
1988,51
1989,35
1990,61
1991,57
1992,64
1993,44
1994,57
1995,44
1996,52
1997,57
1998,54
1999,83
2000,111
2001,131
2002,131
2003,116
2004,133
2005,185
2006,193
2007,157
2008,177
2009,209
2010,234
2011,273
2012,246
