year,Jonah (F),Jonah (M)
1880,0.000000,0.000040
1881,0.000000,0.000026
1882,0.000000,0.000023
1883,0.000000,0.000046
1884,0.000000,0.000045
1885,0.000000,0.000066
1886,0.000000,0.000000
1887,0.000000,0.000044
1888,0.000000,0.000020
1889,0.000000,0.000024
1890,0.000000,0.000030
1891,0.000000,0.000028
1892,0.000000,0.000024
1893,0.000000,0.000022
1894,0.000000,0.000000
1895,0.000000,0.000020
1896,0.000000,0.000014
1897,0.000000,0.000017
1898,0.000000,0.000021
1899,0.000000,0.000021
1900,0.000000,0.000024
1901,0.000000,0.000000
1902,0.000000,0.000016
1903,0.000000,0.000013
1904,0.000000,0.000012
1905,0.000000,0.000017
1906,0.000000,0.000012
1907,0.000000,0.000021
1908,0.000000,0.000035
1909,0.000000,0.000010
1910,0.000000,0.000010
1911,0.000000,0.000028
1912,0.000000,0.000015
1913,0.000000,0.000016
1914,0.000000,0.000013
1915,0.000000,0.000018
1916,0.000000,0.000017
1917,0.000000,0.000012
1918,0.000000,0.000014
1919,0.000000,0.000012
1920,0.000000,0.000021
1921,0.000000,0.000014
1922,0.000000,0.000019
1923,0.000000,0.000014
1924,0.000000,0.000014
1925,0.000000,0.000014
1926,0.000000,0.000009
1927,0.000000,0.000013
1928,0.000000,0.000013
1929,0.000000,0.000012
1930,0.000000,0.000009
1931,0.000000,0.000008
1932,0.000000,0.000011
1933,0.000000,0.000012
1934,0.000000,0.000017
1935,0.000000,0.000013
1936,0.000000,0.000016
1937,0.000000,0.000011
1938,0.000000,0.000008
1939,0.000000,0.000014
1940,0.000000,0.000013
1941,0.000000,0.000011
1942,0.000000,0.000009
1943,0.000000,0.000011
1944,0.000000,0.000007
1945,0.000000,0.000011
1946,0.000000,0.000008
1947,0.000000,0.000005
1948,0.000000,0.000008
1949,0.000000,0.000005
1950,0.000000,0.000006
1951,0.000000,0.000010
1952,0.000000,0.000010
1953,0.000000,0.000009
1954,0.000000,0.000005
1955,0.000000,0.000011
1956,0.000000,0.000008
1957,0.000000,0.000007
1958,0.000000,0.000006
1959,0.000000,0.000005
1960,0.000000,0.000007
1961,0.000000,0.000005
1962,0.000000,0.000008
1963,0.000000,0.000006
1964,0.000001,0.000008
1965,0.000000,0.000009
1966,0.000000,0.000006
1967,0.000000,0.000009
1968,0.000000,0.000012
1969,0.000000,0.000013
1970,0.000000,0.000019
1971,0.000000,0.000047
1972,0.000000,0.000049
1973,0.000000,0.000043
1974,0.000000,0.000050
1975,0.000000,0.000043
1976,0.000002,0.000061
1977,0.000002,0.000071
1978,0.000000,0.000053
1979,0.000003,0.000118
1980,0.000002,0.000114
1981,0.000002,0.000111
1982,0.000003,0.000082
1983,0.000000,0.000075
1984,0.000002,0.000077
1985,0.000003,0.000075
1986,0.000002,0.000066
1987,0.000000,0.000080
1988,0.000000,0.000066
1989,0.000002,0.000068
1990,0.000002,0.000061
1991,0.000002,0.000063
1992,0.000003,0.000058
1993,0.000003,0.000119
1994,0.000003,0.000317
1995,0.000003,0.000374
1996,0.000004,0.000430
1997,0.000006,0.000447
1998,0.000005,0.000399
1999,0.000005,0.000463
2000,0.000005,0.000485
2001,0.000004,0.000529
2002,0.000005,0.000619
2003,0.000004,0.000640
2004,0.000005,0.000601
2005,0.000004,0.000578
2006,0.000005,0.000610
2007,0.000007,0.000629
2008,0.000004,0.000758
2009,0.000004,0.000712
2010,0.000006,0.000751
2011,0.000006,0.000784
2012,0.000004,0.000807
