year,Janetta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,5
1896,6
1897,0
1898,0
1899,0
1900,0
1901,0
1902,5
1903,0
1904,0
1905,0
1906,0
1907,0
1908,7
1909,0
1910,0
1911,0
1912,5
1913,6
1914,11
1915,7
1916,12
1917,13
1918,17
1919,23
1920,21
1921,17
1922,21
1923,21
1924,22
1925,18
1926,14
1927,23
1928,26
1929,14
1930,19
1931,16
1932,18
1933,27
1934,33
1935,43
1936,35
1937,26
1938,43
1939,35
1940,34
1941,33
1942,48
1943,50
1944,33
1945,34
1946,34
1947,36
1948,34
1949,45
1950,39
1951,61
1952,51
1953,65
1954,70
1955,61
1956,51
1957,68
1958,68
1959,39
1960,65
1961,51
1962,52
1963,54
1964,52
1965,42
1966,44
1967,61
1968,43
1969,44
1970,43
1971,45
1972,38
1973,43
1974,31
1975,42
1976,49
1977,41
1978,49
1979,52
1980,47
1981,34
1982,40
1983,32
1984,31
1985,40
1986,43
1987,30
1988,39
1989,30
1990,35
1991,32
1992,38
1993,27
1994,20
1995,21
1996,22
1997,5
1998,14
1999,12
2000,16
2001,16
2002,17
2003,10
2004,12
2005,14
2006,8
2007,14
2008,12
2009,8
2010,7
2011,10
2012,16
