year,Jarret
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,5
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,5
1965,0
1966,19
1967,16
1968,21
1969,21
1970,38
1971,42
1972,38
1973,42
1974,45
1975,58
1976,49
1977,54
1978,91
1979,89
1980,99
1981,94
1982,100
1983,94
1984,76
1985,87
1986,94
1987,93
1988,90
1989,103
1990,136
1991,90
1992,99
1993,108
1994,106
1995,93
1996,82
1997,106
1998,127
1999,129
2000,122
2001,81
2002,81
2003,59
2004,43
2005,50
2006,47
2007,37
2008,32
2009,25
2010,35
2011,25
2012,28
