year,Jackquline
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,5
1932,0
1933,0
1934,0
1935,5
1936,5
1937,6
1938,0
1939,0
1940,0
1941,5
1942,7
1943,5
1944,8
1945,5
1946,0
1947,8
1948,6
1949,13
1950,14
1951,20
1952,14
1953,7
1954,13
1955,9
1956,14
1957,14
1958,9
1959,13
1960,14
1961,30
1962,31
1963,33
1964,39
1965,38
1966,31
1967,10
1968,19
1969,18
1970,15
1971,19
1972,8
1973,8
1974,11
1975,7
1976,6
1977,6
1978,0
1979,0
1980,0
1981,0
1982,5
1983,0
1984,0
1985,0
1986,0
1987,7
1988,0
1989,0
1990,0
1991,6
1992,0
1993,0
1994,0
1995,0
1996,5
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
