year,Jolinda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,6
1937,0
1938,6
1939,5
1940,5
1941,9
1942,7
1943,8
1944,8
1945,7
1946,8
1947,39
1948,23
1949,25
1950,20
1951,13
1952,19
1953,14
1954,13
1955,19
1956,22
1957,30
1958,27
1959,22
1960,29
1961,36
1962,16
1963,30
1964,28
1965,23
1966,17
1967,27
1968,20
1969,18
1970,35
1971,34
1972,27
1973,14
1974,24
1975,16
1976,14
1977,21
1978,11
1979,36
1980,25
1981,15
1982,21
1983,12
1984,10
1985,0
1986,8
1987,10
1988,11
1989,13
1990,9
1991,0
1992,5
1993,8
1994,0
1995,5
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,6
2006,0
2007,7
2008,0
2009,0
2010,7
2011,0
2012,0
